product_id,name,brand,price,currency,category,image,product_url,aff_link,campaign_name
AF-1001,Curea piele maro clasica,Massimo Dutti,199.90,RON,accesorii,https://picsum.photos/seed/belt/400/500,https://example-shop.ro/curea-piele-maro,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1001,Fashion Days
AF-1002,Tricou alb premium bumbac,Uniqlo,89.90,RON,tricouri,https://picsum.photos/seed/tee/400/500,https://example-shop.ro/tricou-alb-premium,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1002,About You
AF-1003,Camasa Oxford bleu,COS,349.00,RON,camasi,https://picsum.photos/seed/oxford/400/500,https://example-shop.ro/camasa-oxford-bleu,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1003,Answear
AF-1004,Pantaloni chino bej,Massimo Dutti,299.00,RON,pantaloni,https://picsum.photos/seed/chino/400/500,https://example-shop.ro/pantaloni-chino-bej,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1004,Fashion Days
AF-1005,Sneakers piele alba,Adidas,449.00,RON,incaltaminte,https://picsum.photos/seed/sneaker/400/500,https://example-shop.ro/sneakers-piele-alba,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1005,Answear
AF-1006,Pulover merino bleumarin,Uniqlo,199.00,RON,pulovere,https://picsum.photos/seed/merino/400/500,https://example-shop.ro/pulover-merino-bleumarin,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1006,About You
AF-1007,Geanta crossbody piele neagra,Answear Lab,259.00,RON,accesorii,https://picsum.photos/seed/bag/400/500,https://example-shop.ro/geanta-crossbody,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1007,Answear
AF-1008,Palton lana camel,Massimo Dutti,899.00,RON,paltoane,https://picsum.photos/seed/coat/400/500,https://example-shop.ro/palton-lana-camel,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1008,Fashion Days
AF-1009,"Esarfa casmir, gri deschis",COS,189.00,RON,accesorii,https://picsum.photos/seed/scarf/400/500,https://example-shop.ro/esarfa-casmir,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1009,About You
AF-1010,Ochelari de soare rotunzi,Ray-Ban,599.00,RON,accesorii,https://picsum.photos/seed/sun/400/500,https://example-shop.ro/ochelari-rotunzi,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=demo&unique=AF-1010,Answear
